Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,,,,,,
2018-01-02,1029.0,1058.5,1029.0,1058.0,1058.0,414483.0
2018-01-03,1069.5,1079.0,1055.5,1057.5,1057.5,283145.0
2018-01-04,1057.0,1058.0,1035.0,1035.0,1035.0,262836.0
2018-01-05,1052.0,1103.0,1052.0,1100.0,1100.0,596692.0
2018-01-08,1120.0,1151.5,1104.0,1151.5,1151.5,529997.0
2018-01-09,1158.5,1159.0,1140.5,1152.5,1152.5,331127.0
2018-01-10,1157.0,1173.5,1151.0,1172.0,1172.0,370621.0
2018-01-11,1175.5,1178.0,1126.5,1150.0,1150.0,370097.0
2018-01-12,1149.0,1149.0,1127.5,1145.0,1145.0,286773.0
2018-01-15,1140.5,1147.0,1136.5,1145.0,1145.0,148612.0
2018-01-16,1142.0,1152.0,1142.0,1146.5,1146.5,183424.0
2018-01-17,1147.0,1156.0,1144.0,1155.5,1155.5,210978.0
2018-01-18,1159.0,1160.0,1132.5,1137.0,1137.0,283638.0
2018-01-19,1143.0,1170.5,1138.5,1170.5,1170.5,273423.0
2018-01-22,1194.5,1194.5,1163.5,1170.5,1170.5,324123.0
2018-01-23,1173.5,1183.0,1112.0,1133.0,1133.0,691178.0
2018-01-24,1138.0,1146.5,1114.5,1114.5,1114.5,373280.0
2018-01-25,1126.5,1133.0,1089.0,1099.0,1099.0,405371.0
2018-01-26,1100.0,1137.0,1100.0,1132.0,1132.0,242023.0
2018-01-29,1134.0,1137.0,1121.5,1136.0,1136.0,228086.0
2018-01-30,1125.0,1139.5,1100.0,1101.0,1101.0,265880.0
2018-01-31,1101.0,1111.5,1093.0,1098.0,1098.0,225854.0
2018-02-01,1100.0,1112.0,1094.0,1095.0,1095.0,177738.0
2018-02-02,1096.0,1100.5,1056.0,1066.0,1066.0,306199.0
2018-02-05,1052.0,1072.5,1042.5,1063.5,1063.5,253840.0
2018-02-06,1000.0,1069.0,994.7999877929688,1046.0,1046.0,439590.0
2018-02-07,1067.5,1073.5,1044.0,1072.0,1072.0,211996.0
2018-02-08,1071.0,1089.0,1051.0,1055.0,1055.0,182383.0
2018-02-09,1045.0,1054.0,1029.0,1037.0,1037.0,220964.0
2018-02-12,1057.5,1073.0,1047.5,1055.0,1055.0,192016.0
2018-02-13,1060.5,1062.5,1038.5,1041.5,1041.5,192009.0
2018-02-14,1044.0,1077.0,1040.0,1074.5,1074.5,229459.0
2018-02-15,1080.0,1084.0,1072.0,1073.0,1073.0,152208.0
2018-02-16,1082.0,1092.0,1071.0,1088.0,1088.0,151038.0
2018-02-19,1090.0,1093.0,1045.5,1047.0,1047.0,243375.0
2018-02-20,1044.5,1066.5,1044.5,1050.0,1050.0,258664.0
2018-02-21,1030.0,1040.0,1017.0,1019.0,1019.0,264187.0
2018-02-22,1105.0,1213.5,1104.0,1200.0,1200.0,1495641.0
2018-02-23,1205.0,1241.0,1179.5,1241.0,1241.0,480488.0
2018-02-26,1250.0,1278.0,1242.5,1260.5,1260.5,391249.0
2018-02-27,1260.0,1261.0,1222.5,1230.0,1230.0,251055.0
2018-02-28,1213.0,1251.0,1202.0,1247.0,1247.0,286084.0
2018-03-01,1255.5,1257.0,1213.5,1233.0,1233.0,308461.0
2018-03-02,1224.0,1229.5,1206.5,1216.0,1216.0,229482.0
2018-03-05,1203.0,1244.0,1203.0,1244.0,1244.0,270391.0
2018-03-06,1252.0,1257.5,1241.0,1253.0,1253.0,209857.0
2018-03-07,1247.0,1250.0,1232.0,1250.0,1250.0,416220.0
2018-03-08,1248.0,1260.5,1244.0,1260.5,1260.5,208338.0
2018-03-09,1258.0,1267.0,1248.0,1261.5,1261.5,139272.0
2018-03-12,1265.0,1270.0,1255.0,1260.0,1260.0,137341.0
2018-03-13,1257.5,1264.5,1251.0,1255.0,1255.0,155514.0
2018-03-14,1255.0,1269.0,1252.0,1263.0,1263.0,144326.0
2018-03-15,1268.0,1271.5,1257.0,1269.5,1269.5,132287.0
2018-03-16,1269.5,1269.5,1251.0,1265.0,1265.0,243742.0
2018-03-19,1264.0,1271.5,1255.5,1266.0,1266.0,131587.0
2018-03-20,1265.0,1274.5,1261.0,1270.0,1270.0,182136.0
2018-03-21,1260.0,1276.0,1252.0,1272.0,1272.0,242248.0
2018-03-22,1273.0,1287.0,1262.5,1264.0,1264.0,180680.0
2018-03-23,1254.0,1266.5,1250.5,1262.0,1262.0,169135.0
2018-03-26,1265.5,1273.0,1242.0,1242.0,1242.0,107677.0
2018-03-27,1270.0,1287.5,1266.5,1280.0,1280.0,238363.0
2018-03-28,1276.5,1302.0,1270.0,1298.0,1298.0,227920.0
2018-03-29,,,,,,
2018-03-30,,,,,,
2018-04-02,,,,,,
2018-04-03,1298.0,1298.0,1243.5,1256.0,1256.0,304744.0
2018-04-04,1260.0,1260.0,1212.5,1219.0,1219.0,255420.0
2018-04-05,1239.0,1246.5,1225.0,1243.5,1243.5,202641.0
2018-04-06,1236.0,1241.0,1222.0,1230.0,1230.0,150494.0
2018-04-09,1230.0,1238.5,1213.5,1217.0,1217.0,163423.0
2018-04-10,1230.0,1235.0,1208.0,1210.0,1210.0,237577.0
2018-04-11,1213.0,1225.0,1199.0,1203.5,1203.5,201037.0
2018-04-12,1200.5,1220.5,1182.5,1215.0,1215.0,201452.0
2018-04-13,1230.0,1232.0,1200.0,1202.0,1202.0,171709.0
2018-04-16,1208.5,1220.0,1190.0,1190.0,1190.0,121222.0
2018-04-17,1200.0,1311.0,1160.0,1294.0,1294.0,652844.0
2018-04-18,1295.0,1295.0,1264.0,1264.0,1264.0,107834.0
2018-04-19,1274.5,1279.5,1263.0,1277.5,1277.5,135164.0
2018-04-20,1277.5,1288.0,1266.0,1267.0,1267.0,177107.0
2018-04-23,1270.5,1274.0,1245.0,1253.5,1253.5,108599.0
2018-04-24,1260.5,1264.5,1232.5,1236.5,1236.5,173915.0
2018-04-25,1235.0,1249.5,1216.0,1221.5,1221.5,139430.0
2018-04-26,1230.0,1255.5,1216.5,1255.5,1255.5,152347.0
2018-04-27,,,,,,
2018-04-30,1260.0,1265.5,1244.5,1252.0,1252.0,147834.0
2018-05-01,1252.0,1261.5,1234.5,1236.0,1236.0,52085.0
2018-05-02,1234.5,1251.5,1228.5,1248.5,1248.5,163800.0
2018-05-03,1253.0,1279.0,1235.0,1264.5,1264.5,147333.0
2018-05-04,1268.0,1270.5,1240.5,1248.0,1248.0,149011.0
2018-05-07,1266.0,1297.0,1257.5,1293.5,1293.5,207537.0
2018-05-08,1320.0,1335.0,1280.5,1305.0,1305.0,257080.0
2018-05-09,1305.0,1310.0,1242.0,1244.0,1244.0,448624.0
2018-05-10,,,,,,
2018-05-11,,,,,,
2018-05-14,1267.0,1267.0,1247.0,1263.5,1263.5,218690.0
2018-05-15,1267.0,1270.0,1246.5,1251.0,1251.0,184854.0
2018-05-16,1242.0,1244.5,1217.0,1226.0,1226.0,353047.0
2018-05-17,1231.5,1258.0,1230.0,1255.0,1255.0,237407.0
2018-05-18,1255.0,1268.5,1254.0,1268.0,1268.0,140488.0
2018-05-21,,,,,,
2018-05-22,1269.0,1278.0,1232.5,1232.5,1232.5,198627.0
2018-05-23,1231.0,1239.0,1217.5,1227.0,1227.0,166667.0
2018-05-24,1227.0,1235.5,1120.0,1219.0,1219.0,230351.0
2018-05-25,1222.0,1230.0,1184.0,1192.5,1192.5,234018.0
2018-05-28,900.0,993.0,880.7999877929688,953.2000122070312,953.2000122070312,1725931.0
2018-05-29,960.0,985.5999755859375,955.0,956.2000122070312,956.2000122070312,659591.0
2018-05-30,964.7999877929688,996.0,961.7999877929688,987.7999877929688,987.7999877929688,518340.0
2018-05-31,993.2000122070312,997.2000122070312,958.0,958.0,958.0,699115.0
2018-06-01,965.0,990.5999755859375,965.0,977.7999877929688,977.7999877929688,444265.0
2018-06-04,989.4000244140625,994.0,967.0,977.7999877929688,977.7999877929688,300450.0
2018-06-05,,,,,,
2018-06-06,978.0,990.0,978.0,981.5999755859375,981.5999755859375,256377.0
2018-06-07,985.5999755859375,986.0,960.4000244140625,962.0,962.0,256932.0
2018-06-08,960.0,962.0,950.2000122070312,952.0,952.0,185724.0
2018-06-11,957.5999755859375,964.2000122070312,938.0,946.7999877929688,946.7999877929688,212613.0
2018-06-12,956.7999877929688,973.0,956.7999877929688,968.0,968.0,252756.0
2018-06-13,973.5999755859375,973.5999755859375,956.2000122070312,968.0,968.0,188426.0
2018-06-14,965.0,992.7999877929688,963.2000122070312,987.7999877929688,987.7999877929688,174399.0
2018-06-15,987.0,987.0,960.4000244140625,960.4000244140625,960.4000244140625,366211.0
2018-06-18,958.0,970.5999755859375,951.2000122070312,951.2000122070312,951.2000122070312,158759.0
2018-06-19,943.2000122070312,964.7999877929688,936.2000122070312,960.2000122070312,960.2000122070312,204202.0
2018-06-20,990.0,1014.0,982.0,1014.0,1014.0,467110.0
2018-06-21,1024.0,1026.5,983.7999877929688,988.2000122070312,988.2000122070312,226249.0
