Ticker,Firm,Market Cap,ISO Code,Industry Code,,, , ,,,,
1COV.DE,Covestro AG,"7585 350,000",DE,CHM,,,,,,,,
AAL.L,Anglo American PLC,"35,532 325,635",GB,MNX,,,,,,,, 
ABBN.SW,ABB Ltd,"46,631 121,398",CH,ELQ,,, , , , , ,
ABF.L,Associated British Foods,"24,306 770,982",GB,FOA,,,,,,,,
ABI.BR,Anheuser Busch Inbev NV,"123,000 000,000",BE,BVG,,,,,,,,
ABN.AS,ABN AMRO Group NV,"15,246 800,000",NL,BNK,,,,,,,,
AC.PA,Accor,"11,274 420,500",FR,TRT,,,,,,,,
ACA.PA,Credit Agricole SA,"37,284 605,325",FR,BNK,,,,,,,,
ACS.MC,ACS Actividades de Construccion y Servicios SA,"11,217 807,250",ES,CON,,,,,,,,
AD.AS,Ahold Delhaize NV,"26,391 148,875",NL,FDR,,,,,,,,
ADP.PA,ADP Promesses,"17,427 032,100",FR,PRO,,,,,,,,
ADS.DE,Adidas AG,"58,080 556,800",DE,TEX,,,,,,,,
AENA.MC,Aena SA,"25,575 000,000",ES,TRA,,,,,,,,
AGN.AS,Aegon NV,"8523 000,416",NL,INS,,,,,,,,
AGS.BR,AGEAS,"10,450 342,320",BE,INS,,,,,,,,
AHT.L,Ashtead Group,"14,359 138,055",GB,TCD,,,,,,,,
AI.PA,L’Air Liquide S.A.,"59,445 121,800",FR,CHM,,,,,,,,
AIR.PA,Airbus SE,"101,000 000,000",FR,ARO,,,,,,,,
AKE.PA,Arkema,"7242 750,700",FR,CHM,,,,,,,,
AKZA.AS,Akzo Nobel NV,"20,643 260,000",NL,CHM,,,,,,,,
ALFA.ST,Alfa Laval AB,"9490 388,121",SE,IEQ,,,,,,,,
ALO.PA,Alstom,"9472 357,920",FR,IEQ,,,,,,,,
ALV.DE,Allianz SE,"91,110 583,200",DE,INS,,,,,,,,
AMS.MC,Amadeus IT Group SA,"31,396 310,400",ES,TSV,,,,,,,,
ASML.AS,ASML Holding NV,"112,000 000,000",NL,SEM,,,,,,,,
ASSA-B.ST,Assa Abloy B,"22,025 237,708",SE,BLD,,,,,,,,
ATCO-A.ST,Atlas Copco AB A,"29,893 459,353",SE,IEQ,,,,,,,,
ATL.MI,Atlantia SpA,"17,153 267,670",IT,TRA,,,,,,,,
ATO.PA,AtoS SE,"8115 372,400",FR,TSV,,,,,,,,
AV.L,Aviva,"19,478 435,620",GB,INS,,,,,,,,
AZN.L,AstraZeneca PLC,"118,000 000,000",GB,DRG,,,,,,,,
BA.L,BAE Systems PLC,"23,152 520,936",GB,ARO,,,,,,,,
BAER.SW,Julius Baer Group,"10,284 124,741",CH,FBN,,,,,,,,
BALN.SW,Baloise Hldg Reg,"7859 340,301",CH,INS,,,,,,,,
BARC.L,Barclays,"36,376 018,151",GB,BNK,,,,,,,,
BAS.DE,BASF SE,"61,859 560,650",DE,CHM,,,,,,,,
BATS.L,British American,"94,014 870,214",GB,TOB,,,,,,,,
BAYN.DE,Bayer AG,"67,899 111,120",DE,DRG,,,,,,,,
BBVA.MC,Banco Bilbao Vizcaya Argentaria SA,"33,226 080,921",ES,BNK,,,,,,,,
BDEV.L,Barratt Developments Tobacco PLC,"8981 456,822",GB,HOM,,,,,,,,
BEI.DE,Beiersdorf AG,"26,875 800,000",DE,COS,,,,,,,,
BHP.L,BHP Group Plc,"44,349 528,279",GB,MNX,,,,,,,,
BIRG.IR,Bank of Ireland Group,"5270 162,938",IE,BNK,,,,,,,,
BKG.L,Berkeley Group,"7860 684,449",GB,HOM,,,,,,,,
BLND.L,British Land Co,"7108 239,101",GB,REA,,,,,,,,
